,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore,Openings_2024_zscore_color
206379,48085030206,Living Wage,Living Wage Occupations,-0.8713180693,-0.9390111388000001,-1.5SD ~ -0.5SD
207677,48085030207,Living Wage,Living Wage Occupations,-0.9267891498,-1.0143732316,-1.5SD ~ -0.5SD
208975,48085030301,Living Wage,Living Wage Occupations,-1.0270592141,-1.0126442029,-1.5SD ~ -0.5SD
210273,48085030302,Living Wage,Living Wage Occupations,-0.7441050725,-0.8186041192,-1.5SD ~ -0.5SD
211571,48085030303,Living Wage,Living Wage Occupations,-0.6021850670000001,-0.6529919229000001,-1.5SD ~ -0.5SD
212869,48085030306,Living Wage,Living Wage Occupations,-1.0075060714,-0.9653585213,-1.5SD ~ -0.5SD
214167,48085030307,Living Wage,Living Wage Occupations,-0.9666933687,-0.9994336283,-1.5SD ~ -0.5SD
215465,48085030403,Living Wage,Living Wage Occupations,-0.1695147233,-0.3033972112,-0.5SD ~ +0.5SD
216763,48085030404,Living Wage,Living Wage Occupations,-0.012570457,-0.1026809102,-0.5SD ~ +0.5SD
218061,48085030405,Living Wage,Living Wage Occupations,0.29948893990000003,0.1312831334,-0.5SD ~ +0.5SD
219359,48085030540,Living Wage,Living Wage Occupations,0.3101540521,0.108723683,-0.5SD ~ +0.5SD
220657,48085030406,Living Wage,Living Wage Occupations,0.6125546445,0.4370068324,+0.5SD ~ +1.5SD
221955,48085030407,Living Wage,Living Wage Occupations,0.3057817785,0.1704956483,-0.5SD ~ +0.5SD
223253,48085030409,Living Wage,Living Wage Occupations,0.4003027825,0.2761905448,-0.5SD ~ +0.5SD
224551,48085030410,Living Wage,Living Wage Occupations,0.7125692009,0.33443991440000004,+0.5SD ~ +1.5SD
225849,48085030504,Living Wage,Living Wage Occupations,1.9291301179,1.4029273478,+1.5SD ~ +2.5SD
227147,48085030505,Living Wage,Living Wage Occupations,1.2736727425,1.0296477646,+0.5SD ~ +1.5SD
228445,48085030506,Living Wage,Living Wage Occupations,0.8748573637,0.6308178915,+0.5SD ~ +1.5SD
229743,48085030511,Living Wage,Living Wage Occupations,0.11793978990000001,0.034004453000000004,-0.5SD ~ +0.5SD
231041,48085030512,Living Wage,Living Wage Occupations,0.048859179,-0.0399829805,-0.5SD ~ +0.5SD
232339,48085030515,Living Wage,Living Wage Occupations,-0.0638800299,-0.2651044788,-0.5SD ~ +0.5SD
233637,48085030516,Living Wage,Living Wage Occupations,-0.1610334923,-0.3091614273,-0.5SD ~ +0.5SD
234935,48085030517,Living Wage,Living Wage Occupations,-0.2332016566,-0.3620219007,-0.5SD ~ +0.5SD
236233,48085030518,Living Wage,Living Wage Occupations,-0.0444924656,-0.1739536395,-0.5SD ~ +0.5SD
237531,48085030519,Living Wage,Living Wage Occupations,-0.5058999121000001,-0.5301952306000001,-1.5SD ~ -0.5SD
238829,48085030520,Living Wage,Living Wage Occupations,-0.4591958687,-0.5213118441,-0.5SD ~ +0.5SD
240127,48085030521,Living Wage,Living Wage Occupations,-0.2956598908,-0.39101535870000004,-0.5SD ~ +0.5SD
241425,48085030524,Living Wage,Living Wage Occupations,-0.5579001237,-0.6020750363,-1.5SD ~ -0.5SD
242723,48085030525,Living Wage,Living Wage Occupations,-0.5683957846000001,-0.6445146985,-1.5SD ~ -0.5SD
244021,48085030529,Living Wage,Living Wage Occupations,-0.34185878750000004,-0.4310332854,-0.5SD ~ +0.5SD
245319,48085030531,Living Wage,Living Wage Occupations,-0.4966185227,-0.5468912864000001,-0.5SD ~ +0.5SD
246617,48085030534,Living Wage,Living Wage Occupations,-0.5027833753000001,-0.5485244247000001,-1.5SD ~ -0.5SD
247915,48085030535,Living Wage,Living Wage Occupations,-0.547028798,-0.6024805426000001,-1.5SD ~ -0.5SD
249213,48085030536,Living Wage,Living Wage Occupations,-0.329207032,-0.392991419,-0.5SD ~ +0.5SD
250511,48085030537,Living Wage,Living Wage Occupations,-0.5649454566000001,-0.6074075670000001,-1.5SD ~ -0.5SD
251809,48085030538,Living Wage,Living Wage Occupations,-0.5434595707000001,-0.5934455865,-1.5SD ~ -0.5SD
253107,48085030539,Living Wage,Living Wage Occupations,-0.6075996775,-0.6453518638,-1.5SD ~ -0.5SD
254405,48085030543,Living Wage,Living Wage Occupations,0.2124801016,0.0873962757,-0.5SD ~ +0.5SD
255703,48085030544,Living Wage,Living Wage Occupations,-0.4285330328,-0.476233885,-0.5SD ~ +0.5SD
257001,48085030545,Living Wage,Living Wage Occupations,-0.5856901861,-0.6290052975,-1.5SD ~ -0.5SD
258299,48085030546,Living Wage,Living Wage Occupations,-0.52682578,-0.6358932764,-1.5SD ~ -0.5SD
259597,48085030547,Living Wage,Living Wage Occupations,-0.5347115708,-0.6421207651,-1.5SD ~ -0.5SD
260895,48085030548,Living Wage,Living Wage Occupations,-0.7194594857000001,-0.7424686089,-1.5SD ~ -0.5SD
262193,48085030549,Living Wage,Living Wage Occupations,-0.29918423710000003,-0.4065328522,-0.5SD ~ +0.5SD
263491,48085030550,Living Wage,Living Wage Occupations,-0.1660192282,-0.26045879510000003,-0.5SD ~ +0.5SD
264789,48085030606,Living Wage,Living Wage Occupations,-0.313785492,-0.37066532420000003,-0.5SD ~ +0.5SD
266087,48085030604,Living Wage,Living Wage Occupations,-0.5295377435,-0.6304718653,-1.5SD ~ -0.5SD
267385,48085030605,Living Wage,Living Wage Occupations,-0.5635122752,-0.6228344363,-1.5SD ~ -0.5SD
