tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047081400,2457547.0,1079.7643751204064,2518572.0,1104.5583553265078,1645134.0,1258.5719995552308,1790650.0,1315.0452811737243
36047082000,3475551.0,2023.782439975929,3649517.0,2103.7175525629414,1792739.0,1770.3003594718573,2070145.0,1896.237216653861
36047082200,3399460.0,1728.8262984909911,3486745.0,1765.508061176598,1764438.0,1699.9365281860037,1881887.0,1749.3074967327366
36047082600,3404644.0,1765.524031195484,3623212.0,1866.631323094478,1976711.0,1692.121755809174,2342979.0,1865.2195006473728
36047082800,3351204.0,1651.2326255155135,3526545.0,1731.2770645327737,1846645.0,1654.7283185547496,2194801.0,1816.030782941349
36047083000,3215711.0,1491.4836157776483,3434434.0,1586.2079574554034,1871056.0,1640.5783344423414,2228662.0,1796.4236721733932
36047083200,2767670.0,1195.8873435671912,3016198.0,1283.903048087138,1496580.0,1280.643006666958,1769748.0,1396.6152593941893
36047083400,2371575.0,1078.8196003023431,2643799.0,1186.8834788320223,1449178.0,1095.864749554502,1728239.0,1215.854125962157
36047057400,1297620.0,707.8245692980099,1408256.0,749.4029008718394,1137264.0,1032.9068769709047,1601677.0,1220.3038497146272
36047102400,552532.0,275.67889654575026,1054282.0,443.4409538118768,1330142.0,880.663865879575,1743740.0,1043.19391836818
36047048400,2540458.0,1406.052337290031,2905122.0,1560.4867343132416,1269992.0,1110.606339254845,1729211.0,1325.6964160608352
36047024100,3747320.0,2214.6090242353444,3749117.0,2216.7744326797138,2143856.0,1663.6923082284395,2226130.0,1710.957702858309
36047026500,3468045.0,1683.2109755764195,3511075.0,1699.3201481098345,2120585.0,1838.936331408082,2173820.0,1862.8877328685744
36047029500,3244014.0,1623.1656752259764,3350823.0,1678.1998763174934,1860136.0,1592.824859517459,1972878.0,1664.977348300569
36047015100,3525617.0,2452.6600780811623,3549443.0,2470.0547364488007,2134861.0,1695.601416968281,2215284.0,1730.8394260477378
36047021700,3658756.0,2298.616301260388,3740227.0,2332.17091536099,2322725.0,2072.8743781130206,2406483.0,2107.981892589886
36047055800,2045518.0,1002.1782449887454,2181196.0,1069.117614237614,1182433.0,1077.960182771854,1622177.0,1266.870297116704
36047007600,3423398.0,1724.6195779339469,3493314.0,1757.1758077230768,2029630.0,1625.936963246982,2174410.0,1689.818953464557
36047012200,3226780.0,1611.4147446678703,3507768.0,1825.8322366472396,1579368.0,1204.721961788989,2020970.0,1514.9052495751164
36047010200,2963297.0,1404.2958257037494,2987671.0,1423.5892450757838,1902614.0,1488.3369226813588,2219552.0,1654.5795796164075
